cell,n_buildings,density
0076_0024,14340,129.46
0076_0025,15220,137.52
0076_0026,13702,123.91
0076_0027,13480,122.00
0076_0028,1615,14.63
0076_0030,5291,48.01
0076_0031,13882,126.07
0076_0032,19734,179.37
0076_0033,20989,190.95
0076_0034,23313,212.27
0076_0035,33057,301.26
0076_0036,39173,357.31
0076_0037,15049,137.39
0076_0038,11110,101.52
0076_0039,3200,29.27
0076_0040,14901,136.40
0076_0041,12545,114.94
0076_0042,5640,51.72
0076_0043,7058,64.78
0076_0044,10596,97.35
0076_0045,30015,276.01
0076_0046,3779,34.78
0076_0047,6252,57.60
0076_0048,8072,74.43
0076_0049,2513,23.19
0076_0062,1053,9.84
0076_0063,1016,9.50
0076_0064,5643,52.84
0076_0065,3261,30.57
0076_0066,11379,106.77
0076_0067,8592,80.70
0076_0069,3072,28.91
0076_0070,1358,12.79
0077_0006,2820,25.09
0077_0007,5891,52.46
0077_0008,5883,52.43
0077_0009,11695,104.30
0077_0010,15431,137.73
0077_0011,11935,106.61
0077_0012,12816,114.57
0077_0013,18181,162.66
0077_0014,28372,254.04
0077_0015,18823,168.67
0077_0016,17973,161.19
0077_0017,22476,201.74
0077_0018,24204,217.42
0077_0019,23387,210.26
0077_0020,22166,199.44
0077_0021,17117,154.14
0077_0022,45307,408.33
0077_0023,17531,158.13
0077_0024,19123,172.64
0077_0025,17599,159.01
0077_0026,9354,84.59
0077_0027,6636,60.06
0077_0031,1813,16.46
0077_0032,9020,81.99
0077_0033,30688,279.18
0077_0034,23874,217.38
0077_0035,24249,220.99
0077_0036,25089,228.85
0077_0037,17790,162.41
0077_0038,36570,334.16
0077_0039,8996,82.28
0077_0040,6175,56.53
0077_0041,12350,113.15
0077_0042,41056,376.51
0077_0043,11174,102.56
0077_0044,12102,111.18
0077_0045,5592,51.42
0077_0046,8018,73.80
0077_0047,4976,45.84
0077_0048,7500,69.16
0077_0049,1015,9.37
0077_0063,1097,10.26
0077_0064,29346,274.80
0077_0065,1863,17.46
0077_0066,36242,340.06
0077_0067,1219,11.45
0077_0069,2214,20.84
0077_0073,1406,13.29
0078_0007,2686,23.92
0078_0008,6467,57.63
0078_0009,9663,86.18
0078_0010,7606,67.89
0078_0011,10594,94.63
0078_0012,14593,130.46
0078_0013,28225,252.52
0078_0014,11435,102.39
0078_0015,15177,136.00
0078_0016,17645,158.25
0078_0017,59136,530.78
0078_0018,20811,186.94
0078_0019,20274,182.27
0078_0020,57213,514.78
0078_0021,16262,146.44
0078_0022,17327,156.16
0078_0023,14606,131.75
0078_0024,25454,229.79
0078_0025,10300,93.06
0078_0026,5994,54.20
0078_0033,6026,54.82
0078_0034,13762,125.31
0078_0035,9729,88.66
0078_0036,34772,317.17
0078_0037,17850,162.96
0078_0038,33848,309.29
0078_0039,23038,210.70
0078_0040,6169,56.47
0078_0041,19080,174.82
0078_0042,38154,349.89
0078_0043,9597,88.09
0078_0044,14821,136.16
0078_0045,6521,59.97
0078_0046,7581,69.78
0078_0047,5832,53.73
0078_0048,1883,17.36
0078_0059,1694,15.79
0078_0062,1835,17.15
0078_0063,2899,27.12
0078_0064,1059,9.92
0078_0066,4753,44.60
0078_0067,1451,13.63
0078_0069,2984,28.08
0078_0071,1561,14.72
0079_0006,3468,30.86
0079_0007,8062,71.79
0079_0008,8807,78.48
0079_0009,28128,250.86
0079_0010,12039,107.45
0079_0011,17466,156.02
0079_0012,12095,108.12
0079_0013,12093,108.19
0079_0014,7345,65.77
0079_0015,17845,159.91
0079_0016,17478,156.75
0079_0017,21970,197.19
0079_0018,14259,128.09
0079_0019,11429,102.75
0079_0020,14453,130.04
0079_0021,15009,135.16
0079_0022,20676,186.34
0079_0023,18122,163.46
0079_0024,14403,130.02
0079_0025,5154,46.57
0079_0026,3960,35.81
0079_0036,4998,45.59
0079_0037,24723,225.71
0079_0038,69218,632.49
0079_0039,28344,259.23
0079_0040,39543,361.98
0079_0041,19683,180.34
0079_0042,11373,104.30
0079_0043,13415,123.13
0079_0044,11740,107.86
0079_0045,25409,233.65
0079_0046,5968,54.93
0079_0047,6289,57.94
0079_0066,3791,35.57
0079_0069,2988,28.12
0079_0070,2281,21.49
0079_0071,3756,35.42
0080_0006,4908,43.67
0080_0007,7529,67.04
0080_0008,11384,101.45
0080_0009,28978,258.44
0080_0010,10262,91.59
0080_0011,11573,103.38
0080_0012,13329,119.16
0080_0013,10391,92.97
0080_0014,18856,168.83
0080_0015,15610,139.88
0080_0016,11714,105.05
0080_0017,19729,177.08
0080_0018,12593,113.12
0080_0019,8018,72.08
0080_0020,13180,118.59
0080_0021,10879,97.97
0080_0022,20431,184.14
0080_0023,20450,184.46
0080_0024,10190,91.99
0080_0025,9182,82.96
0080_0026,7945,71.85
0080_0027,5803,52.52
0080_0028,5277,47.80
0080_0029,4015,36.40
0080_0030,3521,31.95
0080_0031,2706,24.57
0080_0032,5509,50.07
0080_0033,2156,19.61
0080_0037,3762,34.35
0080_0038,24151,220.68
0080_0039,97846,894.88
0080_0040,23011,210.64
0080_0041,4501,41.24
0080_0042,7047,64.62
0080_0043,12302,112.92
0080_0044,9299,85.43
0080_0045,12102,111.29
0080_0046,7559,69.57
0080_0047,6168,56.82
0080_0063,4234,39.61
0080_0064,1130,10.58
0080_0066,2197,20.61
0080_0067,2937,27.59
0080_0070,1816,17.11
0080_0071,1731,16.32
0081_0006,4038,35.93
0081_0007,13581,120.93
0081_0008,8984,80.06
0081_0009,12447,111.01
0081_0010,18291,163.26
0081_0011,8027,71.70
0081_0012,9310,83.23
0081_0013,9973,89.23
0081_0014,15392,137.82
0081_0015,11789,105.64
0081_0016,16960,152.10
0081_0017,27432,246.22
0081_0018,64532,579.68
0081_0019,11741,105.55
0081_0020,9288,83.57
0081_0021,11392,102.59
0081_0022,12647,113.98
0081_0023,36594,330.08
0081_0024,11081,100.04
0081_0025,9116,82.37
0081_0026,2056,18.59
0081_0029,2623,23.78
0081_0030,2593,23.53
0081_0031,4127,37.48
0081_0032,6084,55.30
0081_0033,8173,74.35
0081_0034,15114,137.62
0081_0035,12505,113.96
0081_0036,11638,106.15
0081_0037,10075,91.98
0081_0038,6674,60.98
0081_0039,15394,140.79
0081_0040,5710,52.27
0081_0041,4645,42.56
0081_0042,2846,26.10
0081_0043,6393,58.68
0081_0044,9630,88.47
0081_0045,14881,136.84
0081_0046,7090,65.26
0081_0047,4125,38.00
0081_0053,2576,23.87
0081_0061,2367,22.10
0081_0063,1820,17.03
0081_0065,2034,19.07
0081_0066,1574,14.77
0081_0067,3704,34.79
0081_0068,1079,10.14
0081_0071,1166,11.00
0082_0006,4309,38.34
0082_0007,5658,50.38
0082_0008,9099,81.09
0082_0009,11660,103.99
0082_0010,8799,78.54
0082_0011,8502,75.94
0082_0012,10099,90.28
0082_0013,14379,128.64
0082_0014,23495,210.37
0082_0015,19565,175.32
0082_0016,16002,143.51
0082_0017,14222,127.65
0082_0018,20274,182.12
0082_0019,15248,137.08
0082_0020,16365,147.25
0082_0021,15429,138.94
0082_0022,8711,78.51
0082_0023,10613,95.73
0082_0025,1537,13.89
0082_0033,1436,13.06
0082_0034,4383,39.91
0082_0035,6518,59.40
0082_0036,5470,49.89
0082_0037,8722,79.63
0082_0038,16967,155.04
0082_0039,12176,111.36
0082_0040,21047,192.66
0082_0041,47610,436.21
0082_0042,7000,64.19
0082_0043,3967,36.41
0082_0044,22645,208.05
0082_0045,11683,107.43
0082_0046,6327,58.23
0082_0047,2218,20.43
0082_0052,2849,26.37
0082_0053,2973,27.54
0082_0054,6611,61.31
0082_0061,1925,17.97
0082_0063,2997,28.04
0082_0064,1631,15.27
0082_0065,2094,19.63
0082_0067,1205,11.32
0082_0068,2051,19.28
0082_0069,1330,12.52
0082_0071,5673,53.50
0082_0072,1676,15.82
0083_0006,2260,20.11
0083_0007,1546,13.77
0083_0008,5369,47.85
0083_0009,9924,88.51
0083_0010,13414,119.73
0083_0011,7182,64.15
0083_0012,11008,98.41
0083_0013,21249,190.11
0083_0014,14063,125.92
0083_0015,15856,142.09
0083_0016,13920,124.84
0083_0017,17141,153.85
0083_0018,14267,128.16
0083_0019,13160,118.31
0083_0020,13632,122.66
0083_0021,11887,107.04
0083_0022,10682,96.27
0083_0023,8418,75.93
0083_0038,6121,55.93
0083_0039,11674,106.77
0083_0040,14397,131.79
0083_0041,18791,172.17
0083_0042,19702,180.68
0083_0043,4293,39.40
0083_0044,9559,87.82
0083_0045,37935,348.84
0083_0046,9258,85.21
0083_0047,3902,35.95
0083_0049,22589,208.49
0083_0053,8366,77.51
0083_0061,3782,35.31
0083_0062,1612,15.07
0083_0063,2614,24.45
0083_0064,1387,12.99
0083_0065,1301,12.20
0083_0066,1441,13.52
0083_0067,2920,27.43
0083_0069,2649,24.93
0083_0072,1108,10.46
0083_0073,3699,34.96
0084_0006,3846,34.22
0084_0007,3481,31.00
0084_0008,3914,34.88
0084_0009,10107,90.14
0084_0010,7898,70.49
0084_0011,12166,108.67
0084_0012,22104,197.60
0084_0013,9851,88.13
0084_0014,9018,80.75
0084_0015,23793,213.21
0084_0016,13984,125.41
0084_0017,7673,68.87
0084_0018,8378,75.26
0084_0019,12735,114.49
0084_0020,7457,67.10
0084_0021,15314,137.90
0084_0022,14971,134.93
0084_0023,1592,14.36
0084_0039,9995,91.41
0084_0040,11440,104.72
0084_0041,13634,124.92
0084_0042,50381,462.02
0084_0043,24402,223.98
0084_0044,6028,55.38
0084_0045,10805,99.36
0084_0046,9050,83.30
0084_0047,2735,25.20
0084_0054,1426,13.22
0084_0055,1103,10.24
0084_0060,1103,10.29
0084_0061,4972,46.42
0084_0062,3972,37.12
0084_0066,1856,17.41
0084_0067,1782,16.74
0084_0068,1790,16.83
0084_0069,2566,24.15
0084_0071,1115,10.52
0084_0072,2490,23.51
0084_0073,2136,20.19
0084_0074,4904,46.39
0084_0075,1433,13.57
0084_0076,1206,11.43
0084_0077,1112,10.55
0084_0083,1388,13.26
0084_0087,1138,10.91
0084_0088,1974,18.95
0085_0005,1720,15.29
0085_0006,2666,23.72
0085_0007,3323,29.59
0085_0008,2614,23.29
0085_0009,4178,37.26
0085_0010,7781,69.45
0085_0011,18000,160.79
0085_0012,11701,104.60
0085_0013,11006,98.47
0085_0014,7571,67.79
0085_0015,18825,168.69
0085_0016,12229,109.67
0085_0017,9015,80.91
0085_0018,10769,96.74
0085_0019,12736,114.50
0085_0020,19366,174.25
0085_0021,27435,247.05
0085_0022,2915,26.27
0085_0039,1706,15.60
0085_0040,11240,102.89
0085_0041,18119,166.01
0085_0042,19574,179.50
0085_0043,25495,234.02
0085_0044,2972,27.30
0085_0045,9180,84.42
0085_0046,12619,116.15
0085_0047,5454,50.25
0085_0059,1418,13.21
0085_0060,2294,21.40
0085_0062,4838,45.21
0085_0063,3224,30.16
0085_0067,4249,39.91
0085_0069,1496,14.08
0085_0070,3299,31.08
0085_0072,1100,10.38
0085_0073,1845,17.44
0085_0074,2237,21.16
0085_0075,3943,37.34
0085_0076,12537,118.84
0085_0077,1731,16.43
0085_0078,1362,12.94
0085_0083,2997,28.62
0085_0085,9081,86.91
0085_0086,2009,19.25
0085_0088,1097,10.53
0086_0005,1045,9.29
0086_0006,2257,20.08
0086_0007,3429,30.53
0086_0008,3291,29.33
0086_0009,4654,41.51
0086_0010,3902,34.83
0086_0011,8520,76.11
0086_0012,12343,110.34
0086_0013,12504,111.87
0086_0014,13941,124.83
0086_0015,16271,145.81
0086_0016,11391,102.16
0086_0017,14571,130.78
0086_0018,14277,128.25
0086_0019,17159,154.26
0086_0020,17195,154.71
0086_0021,6164,55.51
0086_0039,4765,43.58
0086_0040,8578,78.52
0086_0041,14052,128.75
0086_0042,18860,172.96
0086_0043,14919,136.94
0086_0044,7091,65.15
0086_0045,3451,31.73
0086_0046,11990,110.36
0086_0047,13028,120.02
0086_0056,2102,19.53
0086_0057,5005,46.55
0086_0060,4012,37.42
0086_0061,8814,82.29
0086_0072,1082,10.21
0086_0073,1626,15.37
0086_0074,1448,13.70
0086_0075,1605,15.20
0086_0076,26950,255.47
0086_0077,2142,20.33
0086_0078,1132,10.75
0086_0082,2890,27.57
0086_0085,22279,213.22
0086_0086,9622,92.19
0086_0087,3571,34.25
0086_0088,1362,13.08
0086_0089,1789,17.20
0086_0090,2269,21.83
0086_0092,2427,23.41
0087_0006,2616,23.28
0087_0007,11955,106.45
0087_0008,5410,48.21
0087_0009,4268,38.06
0087_0010,2858,25.51
0087_0011,3854,34.43
0087_0012,3523,31.49
0087_0013,10482,93.78
0087_0014,26426,236.62
0087_0015,17397,155.90
0087_0016,14158,126.97
0087_0017,20614,185.02
0087_0018,9627,86.48
0087_0019,2000,17.98
0087_0021,1178,10.61
0087_0040,11101,101.62
0087_0041,13870,127.08
0087_0042,17454,160.06
0087_0043,36873,338.45
0087_0044,11861,108.97
0087_0045,2683,24.67
0087_0046,8713,80.20
0087_0047,31055,286.10
0087_0056,1068,9.92
0087_0057,6145,57.15
0087_0058,2026,18.86
0087_0060,1219,11.37
0087_0061,4796,44.78
0087_0062,4397,41.09
0087_0071,1052,9.92
0087_0074,1983,18.76
0087_0075,3230,30.59
0087_0076,2770,26.26
0087_0077,1477,14.02
0087_0078,1806,17.16
0087_0083,3291,31.43
0087_0084,2156,20.61
0087_0085,19687,188.41
0087_0086,7760,74.35
0087_0087,6721,64.46
0087_0088,2839,27.26
0087_0089,1477,14.20
0087_0090,1750,16.84
0087_0091,6163,59.37
0087_0092,4562,44.00
0088_0005,1334,11.86
0088_0006,4349,38.70
0088_0007,3217,28.65
0088_0008,6884,61.35
0088_0009,7819,69.73
0088_0010,5013,44.74
0088_0011,4522,40.39
0088_0012,1988,17.77
0088_0013,3355,30.02
0088_0014,7940,71.09
0088_0015,19281,172.78
0088_0016,38957,349.38
0088_0017,16492,148.03
0088_0018,6614,59.41
0088_0040,3199,29.28
0088_0041,12434,113.92
0088_0042,20501,188.01
0088_0043,46462,426.47
0088_0044,23497,215.87
0088_0045,15727,144.62
0088_0046,6583,60.59
0088_0047,14834,136.66
0088_0056,1067,9.91
0088_0060,1660,15.48
0088_0062,3660,34.21
0088_0063,2579,24.13
0088_0064,6433,60.24
0088_0065,1744,16.35
0088_0075,1241,11.75
0088_0076,2090,19.81
0088_0077,2103,19.96
0088_0078,2747,26.09
0088_0079,1424,13.54
0088_0080,1230,11.71
0088_0083,2223,21.23
0088_0084,6708,64.13
0088_0085,1677,16.05
0088_0086,6102,58.46
0088_0087,6307,60.49
0088_0088,4517,43.37
0088_0089,3293,31.65
0088_0091,9516,91.67
0088_0092,4096,39.50
0088_0093,2759,26.64
0089_0005,1095,9.74
0089_0006,2765,24.60
0089_0007,5882,52.38
0089_0008,5937,52.91
0089_0009,7769,69.29
0089_0010,33286,297.09
0089_0011,3496,31.23
0089_0012,4217,37.70
0089_0013,1537,13.75
0089_0014,1065,9.54
0089_0015,2550,22.85
0089_0016,41992,376.60
0089_0017,15193,136.37
0089_0018,20408,183.32
0089_0020,1216,10.94
0089_0041,6198,56.79
0089_0042,10693,98.06
0089_0043,12801,117.50
0089_0044,16987,156.06
0089_0045,16760,154.12
0089_0046,16958,156.08
0089_0047,5032,46.36
0089_0048,5904,54.44
0089_0050,1546,14.28
0089_0062,1615,15.09
0089_0063,2820,26.38
0089_0064,1599,14.97
0089_0067,1801,16.92
0089_0071,4929,46.48
0089_0076,2254,21.37
0089_0077,4779,45.35
0089_0078,2811,26.70
0089_0085,2828,27.07
0089_0086,4132,39.59
0089_0087,4284,41.09
0089_0088,8349,80.16
0089_0089,11258,108.21
0089_0090,3979,38.29
0089_0091,5532,53.29
0089_0092,8123,78.34
0089_0093,1922,18.56
0090_0006,3740,33.28
0090_0007,6526,58.11
0090_0008,6418,57.19
0090_0009,8763,78.15
0090_0010,7498,66.92
0090_0011,3684,32.91
0090_0012,10850,96.99
0090_0013,3327,29.77
0090_0014,2465,22.07
0090_0015,3328,29.82
0090_0016,1304,11.69
0090_0017,1177,10.56
0090_0018,3469,31.16
0090_0019,1778,15.98
0090_0020,1922,17.29
0090_0042,6681,61.27
0090_0043,9683,88.88
0090_0044,13648,125.39
0090_0045,21611,198.73
0090_0046,17508,161.15
0090_0047,15974,147.16
0090_0048,8104,74.73
0090_0049,7594,70.09
0090_0050,7403,68.39
0090_0051,1773,16.40
0090_0057,1193,11.10
0090_0062,1635,15.28
0090_0063,10086,94.35
0090_0064,3346,31.33
0090_0065,4368,40.94
0090_0066,4492,42.15
0090_0067,1084,10.18
0090_0071,3590,33.86
0090_0072,3130,29.55
0090_0073,3126,29.54
0090_0074,1838,17.39
0090_0075,2654,25.13
0090_0076,2881,27.31
0090_0077,2503,23.75
0090_0078,1574,14.95
0090_0079,1032,9.81
0090_0085,4988,47.74
0090_0086,4715,45.17
0090_0087,4306,41.30
0090_0088,5379,51.65
0090_0089,7147,68.70
0090_0090,8735,84.05
0090_0091,4573,44.05
0090_0092,15037,145.02
0090_0093,2676,25.84
0090_0102,2398,23.39
0091_0006,2548,22.67
0091_0007,3923,34.93
0091_0008,4333,38.61
0091_0009,6604,58.90
0091_0010,5549,49.53
0091_0011,4870,43.50
0091_0012,3758,33.60
0091_0013,6999,62.62
0091_0014,5624,50.36
0091_0015,1513,13.56
0091_0016,2731,24.49
0091_0017,1826,16.39
0091_0018,2671,23.99
0091_0019,1278,11.49
0091_0021,1086,9.78
0091_0043,9667,88.73
0091_0044,13588,124.84
0091_0045,30401,279.56
0091_0046,23543,216.69
0091_0047,18520,170.62
0091_0048,11972,110.40
0091_0049,18628,171.93
0091_0050,13242,122.34
0091_0062,10477,97.92
0091_0063,3861,36.12
0091_0064,4279,40.07
0091_0065,5805,54.41
0091_0066,2164,20.30
0091_0067,1031,9.68
0091_0075,1533,14.52
0091_0078,1351,12.83
0091_0080,1342,12.77
0091_0085,1205,11.53
0091_0086,3237,31.01
0091_0087,7265,69.68
0091_0088,6769,64.99
0091_0089,7190,69.11
0091_0090,4598,44.25
0091_0091,3459,33.32
0091_0092,10384,100.14
0091_0093,4875,47.07
0091_0094,1310,12.66
0091_0100,2866,27.89
0091_0101,9853,95.99
0091_0102,6287,61.32
0092_0006,1612,14.34
0092_0007,5814,51.77
0092_0008,4524,40.32
0092_0009,4699,41.91
0092_0010,6356,56.73
0092_0011,3917,34.99
0092_0012,3939,35.21
0092_0013,2822,25.25
0092_0014,3020,27.04
0092_0015,2785,24.96
0092_0016,1845,16.55
0092_0017,1419,12.74
0092_0018,2145,19.27
0092_0019,1395,12.54
0092_0020,1211,10.90
0092_0043,1542,14.15
0092_0044,15577,143.11
0092_0045,74076,681.18
0092_0046,63921,588.34
0092_0047,25488,234.81
0092_0048,22765,209.92
0092_0049,3862,35.65
0092_0050,9641,89.07
0092_0051,8984,83.08
0092_0057,1827,16.99
0092_0058,7388,68.78
0092_0059,1547,14.42
0092_0061,490,4.57
0092_0062,1711,15.99
0092_0064,1033,9.67
0092_0065,1027,9.63
0092_0066,1455,13.65
0092_0067,1170,10.99
0092_0077,2215,21.02
0092_0078,4039,38.37
0092_0079,5507,52.37
0092_0080,4191,39.90
0092_0081,1068,10.18
0092_0083,1273,12.16
0092_0084,5583,53.37
0092_0086,10641,101.95
0092_0087,1631,15.64
0092_0088,1767,16.97
0092_0089,3830,36.81
0092_0090,1625,15.64
0092_0091,8072,77.76
0092_0092,18516,178.57
0092_0093,10375,100.17
0092_0100,3523,34.28
0092_0101,25407,247.53
0092_0102,9940,96.95
0093_0006,2996,26.66
0093_0007,5511,49.07
0093_0008,5580,49.73
0093_0009,16671,148.68
0093_0010,9063,80.89
0093_0011,10523,94.00
0093_0012,5307,47.44
0093_0013,5680,50.82
0093_0014,4874,43.64
0093_0015,2808,25.16
0093_0016,3355,30.09
0093_0017,2790,25.04
0093_0018,5198,46.69
0093_0019,5741,51.61
0093_0043,3362,30.86
0093_0044,18310,168.22
0093_0045,25992,239.01
0093_0046,34780,320.12
0093_0047,38169,351.64
0093_0048,29660,273.50
0093_0049,20624,190.36
0093_0050,4730,43.70
0093_0051,15962,147.60
0093_0052,1467,13.58
0093_0054,3189,29.57
0093_0055,1537,14.27
0093_0057,5301,49.30
0093_0058,9886,92.03
0093_0059,2619,24.40
0093_0060,3018,28.15
0093_0061,3264,30.47
0093_0062,1716,16.04
0093_0064,1350,12.64
0093_0065,2006,18.80
0093_0066,1309,12.28
0093_0067,1543,14.49
0093_0068,1259,11.84
0093_0069,1337,12.58
0093_0070,3135,29.53
0093_0071,3803,35.86
0093_0078,2467,23.43
0093_0080,1854,17.65
0093_0083,4580,43.74
0093_0084,13136,125.58
0093_0085,3379,32.34
0093_0086,1937,18.56
0093_0087,1866,17.90
0093_0088,1386,13.31
0093_0089,1216,11.69
0093_0090,4007,38.56
0093_0091,3333,32.11
0093_0092,25411,245.06
0093_0093,1529,14.76
0093_0100,5033,48.98
0093_0101,10340,100.74
0093_0102,1654,16.13
0094_0006,1906,16.96
0094_0007,4563,40.63
0094_0008,5297,47.20
0094_0009,8144,72.63
0094_0010,7678,68.53
0094_0011,9038,80.73
0094_0012,9602,85.84
0094_0013,6827,61.08
0094_0014,10688,95.70
0094_0015,5037,45.14
0094_0016,5308,47.60
0094_0017,5796,52.02
0094_0018,7394,66.42
0094_0019,5426,48.78
0094_0044,10326,94.87
0094_0045,16409,150.89
0094_0046,62779,577.83
0094_0047,123512,1137.88
0094_0048,33154,305.72
0094_0049,19929,183.94
0094_0050,13472,124.46
0094_0051,7324,67.73
0094_0052,16494,152.67
0094_0053,33268,308.22
0094_0054,17734,164.46
0094_0055,11036,102.44
0094_0056,13396,124.47
0094_0057,4643,43.18
0094_0058,9598,89.35
0094_0059,2954,27.53
0094_0060,2560,23.88
0094_0061,4008,37.42
0094_0062,17414,162.75
0094_0064,1440,13.48
0094_0065,1600,15.00
0094_0066,1285,12.06
0094_0067,5740,53.91
0094_0068,5855,55.05
0094_0069,3447,32.44
0094_0070,6543,61.64
0094_0071,7623,71.89
0094_0072,2216,20.92
0094_0073,2364,22.34
0094_0074,1037,9.81
0094_0079,1674,15.92
0094_0080,9797,93.26
0094_0081,2051,19.54
0094_0082,2118,20.20
0094_0084,18287,174.82
0094_0085,9749,93.30
0094_0086,2175,20.84
0094_0087,1368,13.12
0094_0088,2832,27.19
0094_0090,2323,22.35
0094_0091,5148,49.59
0094_0092,33743,325.42
0094_0093,3745,36.16
0094_0094,1716,16.59
0094_0095,4124,39.91
0094_0098,3950,38.35
0094_0099,12198,118.57
0094_0100,5831,56.74
0094_0101,4188,40.80
0095_0007,7398,65.88
0095_0008,6133,54.65
0095_0009,8331,74.30
0095_0010,8182,73.03
0095_0011,7534,67.30
0095_0012,7145,63.87
0095_0013,4325,38.69
0095_0014,5290,47.37
0095_0015,3549,31.80
0095_0016,3927,35.22
0095_0017,6396,57.41
0095_0018,5312,47.72
0095_0019,2624,23.59
0095_0044,2747,25.24
0095_0045,11761,108.15
0095_0046,39308,361.80
0095_0047,42655,392.97
0095_0048,22011,202.97
0095_0049,23008,212.36
0095_0050,30703,283.65
0095_0051,4744,43.87
0095_0052,25972,240.39
0095_0053,18139,168.05
0095_0054,16214,150.36
0095_0055,12337,114.52
0095_0056,11747,109.14
0095_0057,15234,141.68
0095_0058,24654,229.51
0095_0059,11030,102.78
0095_0060,4392,40.97
0095_0061,2934,27.39
0095_0062,3548,33.16
0095_0063,2427,22.70
0095_0064,1301,12.18
0095_0065,1078,10.10
0095_0067,1591,14.94
0095_0068,4738,44.55
0095_0069,2425,22.82
0095_0070,2835,26.71
0095_0071,1950,18.39
0095_0072,2040,19.26
0095_0073,3327,31.44
0095_0074,2248,21.27
0095_0075,2728,25.83
0095_0076,8061,76.41
0095_0077,7157,67.91
0095_0078,12081,114.76
0095_0079,6294,59.85
0095_0080,5009,47.68
0095_0081,1407,13.41
0095_0082,5366,51.19
0095_0083,6633,63.34
0095_0084,17464,166.96
0095_0085,29284,280.26
0095_0086,4986,47.77
0095_0087,5708,54.75
0095_0088,4470,42.92
0095_0089,2210,21.24
0095_0090,2677,25.76
0095_0091,8672,83.54
0095_0092,2529,24.39
0095_0093,3962,38.25
0095_0094,11467,110.83
0095_0097,4650,45.10
0095_0098,3348,32.51
0095_0099,8299,80.67
0095_0100,9404,91.51
0095_0101,3997,38.94
0096_0007,5328,47.44
0096_0008,7498,66.82
0096_0009,5722,51.03
0096_0010,5183,46.26
0096_0011,8465,75.61
0096_0012,9516,85.07
0096_0013,5778,51.69
0096_0014,4462,39.95
0096_0015,4351,38.99
0096_0016,6963,62.45
0096_0017,6424,57.66
0096_0018,3817,34.29
0096_0019,3134,28.18
0096_0046,12467,114.75
0096_0047,19889,183.23
0096_0048,27141,250.27
0096_0049,23766,219.36
0096_0050,31254,288.74
0096_0051,33550,310.24
0096_0052,4391,40.64
0096_0053,12931,119.80
0096_0054,16432,152.38
0096_0055,29625,274.99
0096_0056,17991,167.16
0096_0057,22729,211.39
0096_0058,22816,212.40
0096_0059,19932,185.73
0096_0060,23856,222.51
0096_0061,30950,288.97
0096_0062,5400,50.47
0096_0063,9091,85.05
0096_0064,2826,26.46
0096_0065,1858,17.42
0096_0066,2100,19.70
0096_0067,1963,18.44
0096_0068,3411,32.07
0096_0069,2397,22.56
0096_0070,11390,107.30
0096_0071,4481,42.26
0096_0072,10051,94.88
0096_0073,6118,57.81
0096_0074,27457,259.73
0096_0075,9006,85.28
0096_0076,7764,73.60
0096_0077,2891,27.43
0096_0078,5962,56.63
0096_0079,4555,43.31
0096_0080,4834,46.02
0096_0081,3049,29.06
0096_0082,12805,122.15
0096_0083,4802,45.86
0096_0084,4880,46.65
0096_0085,12381,118.49
0096_0086,10573,101.30
0096_0087,10804,103.62
0096_0088,3612,34.68
0096_0089,11921,114.59
0096_0090,10951,105.38
0096_0091,24213,233.25
0096_0092,30680,295.88
0096_0093,5137,49.60
0096_0094,2960,28.61
0096_0095,11175,108.13
0096_0096,5398,52.29
0096_0097,1544,14.97
0096_0098,1423,13.82
0096_0099,3364,32.70
0096_0100,6095,59.31
0096_0101,3404,33.16
0097_0005,1677,14.91
0097_0006,3358,29.88
0097_0007,3382,30.12
0097_0008,5431,48.40
0097_0009,3497,31.19
0097_0010,3350,29.90
0097_0011,5483,48.98
0097_0012,7421,66.34
0097_0013,9189,82.21
0097_0014,5262,47.12
0097_0015,9055,81.14
0097_0016,3527,31.63
0097_0017,5288,47.46
0097_0018,5713,51.32
0097_0019,3878,34.86
0097_0046,4470,41.14
0097_0047,15632,144.01
0097_0048,28995,267.37
0097_0049,34211,315.76
0097_0050,28480,263.11
0097_0051,33674,311.39
0097_0052,14101,130.52
0097_0053,3246,30.07
0097_0054,5809,53.87
0097_0055,6819,63.30
0097_0056,15355,142.67
0097_0057,21280,197.91
0097_0058,40174,373.99
0097_0059,75860,706.89
0097_0060,40523,377.97
0097_0061,37914,353.99
0097_0062,33298,311.19
0097_0063,75061,702.19
0097_0064,19035,178.25
0097_0065,4934,46.25
0097_0066,4966,46.60
0097_0067,6802,63.89
0097_0068,6762,63.58
0097_0069,26120,245.83
0097_0070,22256,209.67
0097_0071,7698,72.60
0097_0072,5094,48.09
0097_0073,7458,70.48
0097_0074,8152,77.12
0097_0075,8196,77.61
0097_0076,7843,74.35
0097_0077,4834,45.87
0097_0078,3969,37.70
0097_0079,7233,68.78
0097_0080,4568,43.48
0097_0081,8529,81.28
0097_0082,5184,49.45
0097_0083,4113,39.28
0097_0084,4590,43.88
0097_0085,5211,49.87
0097_0086,9637,92.33
0097_0087,2896,27.78
0097_0088,12043,115.63
0097_0089,16168,155.41
0097_0090,13256,127.56
0097_0091,35166,338.77
0097_0092,113595,1095.51
0097_0093,26236,253.30
0097_0094,1722,16.64
0097_0095,1394,13.49
0097_0096,18182,176.13
