quadrat,n,n_pv,base_rate,auc__baseline,ws__baseline,multipx__baseline,singlepx__baseline,auc__plus_px_count,ws__plus_px_count,multipx__plus_px_count,singlepx__plus_px_count,auc__plus_extremes,ws__plus_extremes,multipx__plus_extremes,singlepx__plus_extremes,auc__plus_spread,ws__plus_spread,multipx__plus_spread,singlepx__plus_spread,auc__plus_dispersion,ws__plus_dispersion,multipx__plus_dispersion,singlepx__plus_dispersion
khairpur_rural,564,4,0.0070921985815602835,0.46205357142857145,0.35952263141773283,0.9615384615384616,0.2959317585301837,0.45714285714285713,0.35732921210407603,0.9615384615384616,0.2926509186351706,0.45982142857142855,0.36050045946136994,0.9615384615384616,0.29396325459317585,0.45803571428571427,0.35952263141773283,0.9807692307692307,0.2900262467191601,0.4589285714285714,0.36147828750500693,0.9615384615384616,0.2946194225721785
lahore,13500,3570,0.2644444444444444,0.8895643453756125,0.7825327701211533,0.8358738880853264,0.8427205793091223,0.8890687755464723,0.7808413836736674,0.8340668653994473,0.8439870793614702,0.8898279835599899,0.7820992985093654,0.8370078246068038,0.8431586323752046,0.8899884344472935,0.782355257646899,0.8368789898465182,0.8435465855305034,0.889704739902003,0.7827144233228502,0.8363198056835034,0.8433625004737011
layyah_periurban,584,15,0.025684931506849314,0.7520796719390744,0.7416574087061774,0.9738805970149254,0.7046360014487505,0.7497363796133568,0.7326695059400902,0.9776119402985075,0.7015574067366896,0.7517281780902167,0.7400560936312327,0.9776119402985075,0.7039116262223832,0.7523140011716462,0.7428048106428214,0.9776119402985075,0.7049981890619341,0.7485647334504979,0.7377370388089237,0.9776119402985075,0.7030061571894242
lodhran_periurban,949,32,0.03371970495258166,0.8340717011995638,0.726207075818077,0.8159722222222222,0.8107904642409034,0.8419438386041439,0.7404977389833263,0.8180555555555555,0.8215181932245922,0.8415348964013086,0.7387909268409474,0.80625,0.8228983688833125,0.8446019629225736,0.7406502569213114,0.83125,0.8225846925972397,0.8330493456924755,0.7308679596211054,0.7743055555555556,0.8217063989962359
malok,5891,384,0.06518417925649296,0.8476820221233582,0.7984328668433648,0.822074041407836,0.8357989535154992,0.84637355486956,0.7957806644636046,0.8196941933227393,0.8341705332775405,0.8457573883239513,0.7955630743236851,0.8115205936694521,0.8351333286427918,0.8461233997639368,0.7961268672192594,0.8108743090457037,0.8356054686776746,0.8465787860904304,0.7977017785454996,0.8149116871070019,0.8359581850566753
mardan,4751,761,0.16017680488318248,0.7636775908233132,0.6870770045767682,0.7087539880249989,0.7358986117480302,0.7642312087709419,0.6848303547083486,0.7082950919977273,0.7379471750902109,0.764093215957107,0.6846786036355342,0.705833078391096,0.73806297855783,0.7646639595045432,0.6855801569404028,0.7061025887563189,0.7388162801146918,0.7647621023649794,0.6848903127097028,0.7041723118162085,0.7377149891376348
multan,3419,292,0.08540508920737058,0.9383802585523348,0.9278172199207677,0.9497810723613458,0.9182965889506715,0.9367615684865795,0.9257439304479682,0.949428995749475,0.9126914447370988,0.9370441273749184,0.9260485477671809,0.9506068520510063,0.9125573114818066,0.9372982113365255,0.925688530324984,0.9508885133405028,0.9123256267681202,0.9362742091636695,0.9261221332044677,0.9485904132739285,0.9133864988781583
muzaffargarh_rural,639,6,0.009389671361502348,0.9054765666140073,0.7905896801991409,0.8653846153846154,0.8588640275387264,0.9054765666140073,0.8091821821257709,0.8846153846153846,0.8634538152610441,0.8970510795155345,0.7813349826606228,0.8589743589743589,0.8496844520940906,0.8970510795155345,0.7729000765847568,0.8653846153846154,0.8462421113023523,0.8981042654028436,0.7745014455982663,0.8461538461538461,0.8462421113023523
muzaffargarh_rural_wide,1111,11,0.009900990099009901,0.9342148760330579,0.8630057272426571,0.9474747474747475,0.9047619047619048,0.9317355371900826,0.8613069348398191,0.9454545454545454,0.8997668997668997,0.9287603305785124,0.857190687528749,0.9232323232323232,0.8981018981018981,0.9286776859504132,0.8587803824774535,0.9272727272727272,0.8979353979353979,0.9286776859504132,0.8581275449424104,0.9292929292929293,0.8972693972693973
nasirabad_rural,189,0,0.0,,,,,,,,,,,,,,,,,,,,
peshawar,2111,398,0.18853623874940786,0.909239718733774,0.8187689251402804,0.8970267321331151,0.8417089498577057,0.9098777600788531,0.8170398853533611,0.8973404255319148,0.8441041533740468,0.9104717985725475,0.8188521704362307,0.8954991816693945,0.8461296954597474,0.910392593440055,0.8189769485816681,0.8955537370430987,0.8460132267898196,0.910863423949872,0.820033951129504,0.894380796508456,0.8464791014695308
peshawar_west,7722,863,0.11175861175861176,0.888261094987817,0.8618989466332841,0.8785573095508756,0.8673711113069534,0.8877022467288034,0.8614351270627182,0.8803337669491029,0.8647460415381452,0.888432736411988,0.8623564877632063,0.8812937766370949,0.8654545988660732,0.8887675723398494,0.8628548706465844,0.8817791528476056,0.8659146323551012,0.8884472651152151,0.8631305547361622,0.8809763777066805,0.8663264886460444
quetta,5258,260,0.049448459490300495,0.8383053221288516,0.8230656802875543,0.7998570935790666,0.8379856869871483,0.8373187736633115,0.8201223147146562,0.7979352486078943,0.8378444591116478,0.8325599470557453,0.8153515586563919,0.7842729019859065,0.8349968439893128,0.8371825653338258,0.818704732653877,0.7924653821514808,0.8376023541822185,0.8333448764121033,0.815542691165683,0.7837924407431134,0.8347302403467864
rahim_yar_khan,5554,778,0.14007922218221103,0.8413506047805437,0.7593317507356703,0.8002321536281894,0.8185400459030076,0.8413000090426426,0.757084004059586,0.8031217999971945,0.8189519806849682,0.8422933540883509,0.7573696728487582,0.8040160473565346,0.8192738978807118,0.8426327223090603,0.7580850247469224,0.805804542075215,0.8193150317446124,0.8433965026503555,0.7584169114238085,0.8071161048689138,0.819194014724731
sanghar,13436,619,0.04607025900565644,0.7994812775792651,0.7328518176516551,0.7900059965415296,0.7660623720224002,0.801358202195867,0.7345036069663076,0.7919967088748815,0.7691582972028612,0.799791724515716,0.7323770060038415,0.7849507725776761,0.7681297965674668,0.7996353036273134,0.7311147213091097,0.7836085234562392,0.7672063795543859,0.8003974930811172,0.7323945795431008,0.7804986891281308,0.7681187351335391
sialkot,4208,437,0.10384980988593157,0.823641459846219,0.7792066446265814,0.8111974232663888,0.8171717451942719,0.8228968880296276,0.776470828022639,0.8106071647185705,0.8130520093012464,0.8236244688023195,0.7770745688047405,0.8109277989914595,0.8138060962507503,0.8233028526142238,0.7765939868653536,0.812064593231702,0.8135564152875366,0.8228095055181449,0.777786830578585,0.8165461859095812,0.814975057123978
site_karachi,7110,901,0.12672292545710268,0.9396645769835024,0.923556828176159,0.9373065531284709,0.9194061075284057,0.9398937384402614,0.9237720506379014,0.9380229544613107,0.9188495086575484,0.9409796634401139,0.9244086195851534,0.9391910403554239,0.9194230860085513,0.9405127603784489,0.9237280942376696,0.9389985190670123,0.9185025571067489,0.9390303610329712,0.9231695282179179,0.9337023324694558,0.9194533519948976
sukkur,6096,1032,0.16929133858267717,0.7961522741467357,0.736657302113245,0.7430795066351333,0.7816764987244897,0.7975573511762617,0.7368111283162255,0.743155465773223,0.7850061118197279,0.7986046052389875,0.7381380367669409,0.7434798318223623,0.7862532773526077,0.7984354525637729,0.7375010166159749,0.7422685915122849,0.7854937287414966,0.800105356858567,0.7388262285148768,0.7435208908159243,0.7863569125566894
sundar,2401,220,0.09162848812994585,0.917300237589096,0.9032906746828284,0.9310028472002531,0.8926435276140581,0.9181443041140428,0.9018297349803068,0.9331013392386376,0.8879022047587863,0.9197407361093743,0.9034517419160417,0.9373088685015291,0.888513425016372,0.9203534658830395,0.9038401770871999,0.9383212063692924,0.888958742632613,0.9206535784252428,0.9042449749507298,0.9401138880101234,0.8898144509932329
tank_rural,225,10,0.044444444444444446,0.7851162790697674,0.7871988741826038,0.7017543859649122,0.7966101694915254,0.7781395348837209,0.7833315614917619,0.7017543859649122,0.7885391444713479,0.7855813953488372,0.7899211342578052,0.7631578947368421,0.7901533494753834,0.7786046511627907,0.7841012387320273,0.7543859649122807,0.7812752219531881,0.7888372093023256,0.7953857889715212,0.7368421052631579,0.7974172719935432
